date,open,high,low,close,volume
201707011100 ,2505.56,2513.38,2495.12,2509.17,114.6
201707011200 ,2509.17,2512.87,2484.99,2488.43,157.36
201707011300 ,2488.43,2488.43,2454.4,2454.43,280.28
201707011400 ,2454.43,2473.93,2450.83,2459.35,289.42
201707011500 ,2459.35,2475,2450,2467.83,276.82
201707011600 ,2467.83,2469.99,2450,2460.01,330.01
201707011700 ,2460.01,2460.68,2428.03,2445.99,370.26
201707011800 ,2445.99,2455.86,2414,2425.94,536.06
201707011900 ,2425.94,2437.86,2406.44,2435.99,461.2
201707012000 ,2435.99,2438.95,2404.61,2408.25,671.04
201707012100 ,2408.25,2420,2401,2416.62,632.73
201707012200 ,2416.62,2425,2400,2424.99,344.87
201707012300 ,2424.99,2431.94,2414.8,2423.63,355.01
201707020000 ,2423.63,2426,2389.99,2391.87,565.71
201707020100 ,2391.87,2419.9,2385,2409.9,370.78
201707020200 ,2409.9,2411,2385.52,2407.81,387.75
201707020300 ,2407.81,2410,2397.63,2404.99,200.61
201707020400 ,2404.99,2412,2398.36,2412,202.17
201707020500 ,2412,2439.99,2411.99,2439.97,354.39
201707020600 ,2439.97,2439.99,2415.19,2421.55,138.82
201707020700 ,2421.55,2439.97,2418.33,2431.95,219.87
201707020800 ,2431.95,2461.99,2428.98,2461.99,307.95
201707020900 ,2461.99,2461.99,2450,2457.54,214.1
201707021000 ,2457.54,2457.54,2427.87,2436.07,98.17
201707021100 ,2436.07,2450,2427.76,2449.6,112.67
201707021200 ,2449.6,2450.03,2431.65,2440.87,101
201707021300 ,2440.87,2450.35,2429.9,2435.62,269.83
201707021400 ,2435.62,2444.29,2425.43,2442.99,221.08
201707021500 ,2442.99,2463.86,2442.99,2463.86,393.42
201707021600 ,2463.86,2479.25,2462.17,2476.41,435.06
201707021700 ,2476.41,2507.54,2474.23,2496.37,1216.26
201707021800 ,2496.37,2526.72,2490,2490.08,796.35
201707021900 ,2490.08,2506.11,2478.43,2492.61,649.85
201707022000 ,2492.61,2504.41,2488.01,2504.09,297.05
201707022100 ,2504.09,2525,2495.56,2525,604.59
201707022200 ,2525,2525,2506,2517.01,454.22
201707022300 ,2517.01,2545,2507.57,2516.66,463.27
201707030000 ,2516.66,2519.9,2499.2,2500.97,536.4
201707030100 ,2500.97,2501,2495.36,2500,448.9
201707030200 ,2500,2501,2490.32,2491.4,371.84
201707030300 ,2491.4,2497.67,2487.04,2490.83,330.36
201707030400 ,2490.83,2499.92,2487.04,2498.92,484.4
201707030500 ,2498.92,2499.99,2481.72,2497.61,660.14
201707030600 ,2497.61,2499.99,2490.56,2499.98,185.14
201707030700 ,2499.98,2502,2481.72,2481.72,297.38
201707030800 ,2481.72,2492.19,2481.72,2483.72,166.93
201707030900 ,2483.72,2493.77,2479.75,2489.09,181.49
201707031000 ,2489.09,2496.13,2480.11,2482.09,186.78
201707031100 ,2482.09,2502.3,2479.75,2502.3,375.44
201707031200 ,2502.3,2524,2502.05,2519.38,488
201707031300 ,2519.38,2570,2518.46,2560,754.54
201707031400 ,2560,2584.78,2539.37,2550,811.11
201707031500 ,2550,2576.45,2543.83,2569.98,543.07
201707031600 ,2569.98,2573.97,2555,2563,447.44
201707031700 ,2563,2564.92,2550,2552.37,372.57
201707031800 ,2552.37,2553.62,2526.83,2528.8,617.11
201707031900 ,2528.8,2548.02,2528.1,2547.43,332.44
201707032000 ,2547.43,2559.12,2547.16,2556.02,416.77
201707032100 ,2556.02,2559.99,2550,2559.98,386
201707032200 ,2559.98,2573.84,2552.01,2554.4,387.05
201707032300 ,2554.4,2557.15,2541.9,2542.41,262.95
201707040000 ,2542.41,2564,2542.18,2560.93,247.03
201707040100 ,2560.93,2570,2560.92,2566.27,276.22
201707040200 ,2566.27,2610.77,2566,2607.1,830.62
201707040300 ,2607.1,2625,2601,2616.28,1266.24
201707040400 ,2616.28,2625.47,2605.17,2620,467.02
201707040500 ,2620,2636.04,2611.3,2621,644.18
201707040600 ,2621,2628.15,2615,2625.9,329.38
201707040700 ,2625.9,2636.1,2621.02,2630.93,202.35
201707040800 ,2630.93,2630.93,2594.49,2594.49,345.53
201707040900 ,2594.49,2609.99,2593.86,2605.1,112.84
201707041000 ,2605.1,2605.12,2581.12,2594.83,143.89
201707041100 ,2594.83,2614.94,2594.83,2614.93,369.14
201707041200 ,2614.93,2621.57,2609.03,2616.22,256.14
201707041300 ,2616.22,2626,2610.07,2617.88,449.95
201707041400 ,2617.88,2621.01,2610,2612.72,495.7
201707041500 ,2612.72,2616.13,2577.88,2587,547.14
201707041600 ,2587,2587.06,2560,2570.25,1010.42
201707041700 ,2570.25,2595.89,2567.37,2594,489.14
201707041800 ,2594,2595.72,2579.56,2586.71,305.56
201707041900 ,2586.71,2588.24,2566.51,2566.51,318.24
201707042000 ,2566.51,2586.99,2563.02,2579.09,216.02
201707042100 ,2579.09,2590.05,2574.71,2582.36,442.23
201707042200 ,2582.36,2596,2579.41,2595.98,328.94
201707042300 ,2595.98,2611.45,2591.32,2602,580.95
201707050000 ,2602,2602.82,2577.51,2578.97,833.53
201707050100 ,2578.97,2593.51,2576.25,2584.27,394.05
201707050200 ,2584.27,2584.32,2571.36,2580.85,397.47
201707050300 ,2580.85,2587.64,2572.89,2576.12,301.5
201707050400 ,2576.12,2579,2559.01,2572.85,282.93
201707050500 ,2572.85,2572.85,2561.49,2571.76,260.02
201707050600 ,2571.76,2576.77,2555.34,2563.24,285.46
201707050700 ,2563.24,2567.07,2553.04,2558.37,304.65
201707050800 ,2558.37,2571.65,2552.37,2570.7,283
201707050900 ,2570.7,2574.57,2560.8,2568.4,192.25
201707051000 ,2568.4,2575.03,2567.34,2570.01,155.21
201707051100 ,2570.01,2578.93,2569.43,2572.06,214.09
201707051200 ,2572.06,2573,2555.72,2555.72,475.8
201707051300 ,2555.72,2575.72,2551.06,2575.72,873.67
201707051400 ,2575.72,2576.99,2556.68,2567.01,638.39
201707051500 ,2567.01,2575.75,2556.38,2573.91,416.4
201707051600 ,2573.91,2585.47,2570.71,2578.96,484.24
201707051700 ,2578.96,2598,2573.02,2598,443.96
201707051800 ,2598,2612,2593.24,2603.45,827.54
201707051900 ,2603.45,2624,2594.39,2623.79,458.48
201707052000 ,2623.79,2623.99,2604.1,2608.6,456.35
201707052100 ,2608.6,2615.15,2597.92,2615.15,430.78
201707052200 ,2615.15,2630.24,2611.64,2611.64,392.55
201707052300 ,2611.64,2620,2602.11,2616.96,378.66
201707060000 ,2616.96,2623.54,2608.93,2615.85,348.66
201707060100 ,2615.85,2615.85,2600.14,2603.01,393.2
201707060200 ,2603.01,2610,2603,2610,234.42
201707060300 ,2610,2617,2606.86,2616.99,245.43
201707060400 ,2616.99,2617,2606.22,2607.97,224.32
201707060500 ,2607.97,2609.93,2596.57,2600,217.51
201707060600 ,2600,2607,2597.23,2605.8,148.25
201707060700 ,2605.8,2609.1,2593.82,2608.09,355.16
201707060800 ,2608.09,2613,2601.22,2612.34,228.13
201707060900 ,2612.34,2614.93,2580.73,2585.05,484.7
201707061000 ,2585.05,2604.09,2582.96,2598.16,199.04
201707061100 ,2598.16,2603,2590.36,2602.98,297.3
201707061200 ,2602.98,2607,2597.44,2598.54,382.97
201707061300 ,2598.54,2600,2585,2591.6,380.24
201707061400 ,2591.6,2597.93,2585.23,2585.23,445.58
201707061500 ,2585.23,2590,2580.77,2583.95,518.32
201707061600 ,2583.95,2594.99,2580.69,2594.47,420.84
201707061700 ,2594.47,2598.96,2590,2594.05,413.3
201707061800 ,2594.05,2596.28,2590.95,2590.96,353.85
201707061900 ,2590.96,2600,2590.91,2600,358.6
201707062000 ,2600,2608.98,2593.2,2597.51,311.26
201707062100 ,2597.51,2599,2594.04,2598.44,427.5
201707062200 ,2598.44,2605.1,2590.76,2604.46,503.14
201707062300 ,2604.46,2605.5,2600,2604.84,304.52
201707070000 ,2604.84,2606,2600.26,2606,393.39
201707070100 ,2606,2606.52,2591.63,2602.6,407.39
201707070200 ,2602.6,2607.61,2590.02,2591.1,674.44
201707070300 ,2591.1,2597.75,2589,2597.31,348.81
201707070400 ,2597.31,2599.42,2589,2594.55,303.95
201707070500 ,2594.55,2596.89,2589.16,2595.53,166.2
201707070600 ,2595.53,2597.88,2576,2576.01,436.2
201707070700 ,2576.01,2576.57,2568,2575.71,486.01
201707070800 ,2575.71,2575.72,2567.52,2570.13,193.22
201707070900 ,2570.13,2574.49,2567.61,2573.32,117.11
