date,open,high,low,close,volume
20191017,7993.54,8070,7937.01,8034.32,12537245.82
20191016,8162.44,8171.59,7908.86,7993.54,65132771.81
20191015,8355,8420,8085.65,8162.44,65109952.98
20191014,8282.97,8409,8215.66,8355,36575829.05
20191013,8309.03,8469.02,8146.47,8282.97,45492326.33
20191012,8267.33,8425,8261.46,8309.03,25023584.91
20191011,8587.5,8826,8226,8267.33,101238415.3
20191010,8590,8660,8452.5,8587.5,67531649.6
20191009,8180,8709,8121,8590,117143752
20191008,8209,8342.97,8107.26,8180,47674867.98
20191007,7859.79,8310.57,7762.35,8209,80691163.82
20191006,8147.63,8176.18,7780.85,7859.79,61753052.16
20191005,8156.67,8200,8020.2,8147.63,30873507.65
20191004,8240.41,8241.35,8002.21,8156.67,62078561.3
20191003,8381.72,8419.95,8059.22,8240.41,62037926.73
20191002,8321.52,8391,8168.85,8381.72,57883644.17
20191001,8304.96,8535,8200,8321.52,101594010.6
20190930,8052.4,8393.23,7701,8304.96,114990553.1
20190929,8217.47,8246.87,7902.96,8052.4,55634607.52
20190928,8193.99,8343,8015.25,8217.47,72162358.51
20190927,8060,8290,7861.02,8193.99,127240779.1
20190926,8438.35,8464.08,7712.45,8060,202894604
20190925,8530.01,8743.86,8222.01,8438.35,195698352
20190924,9693.74,9777.16,8159.35,8530.01,282987748.5
20190923,10026.8,10051.15,9609.37,9693.74,102332904.4
20190922,9973.99,10097,9848.37,10026.8,51003517.74
20190921,10168.85,10170.15,9917.34,9973.99,48372943.24
20190920,10275.01,10309.84,10056.3,10168.85,62522073.7
20190919,10155.26,10379.15,9585.86,10275.01,134927397.8
20190918,10185.39,10258,10074.08,10155.26,56681450.55
20190917,10262.54,10276.18,10135.44,10185.39,58364825.36
20190916,10304.46,10379.98,10068.42,10262.54,75476404.07
20190915,10360.25,10380,10263.39,10304.46,28202179.16
20190914,10365.93,10439,10223.36,10360.25,45673649.1
20190913,10423.72,10452.5,10157,10365.93,70031660.47
20190912,10160.2,10460,10040,10423.72,77805911.82
20190911,10093.01,10297.12,9851.97,10160.2,77391519.96
20190910,10310,10389.26,9916,10093.01,77363574.82
20190909,10398.97,10541.75,10059.99,10310,96260009.31
20190908,10484.37,10595,10231.13,10398.97,46958866.48
20190907,10308.92,10580,10304.52,10484.37,45490740.26
20190906,10574.73,10939.34,10182.8,10308.92,150243703.3
20190905,10581.84,10666.43,10452.15,10574.73,77119779.28
20190904,10628.48,10833.14,10380,10581.84,121635949.9
20190903,10381.26,10790,10280,10628.48,153499426.6
20190902,9766.52,10485.48,9756.54,10381.26,113202807
20190901,9600.86,9840,9539.58,9766.52,38944156.72
20190831,9582.42,9707.48,9436.2,9600.86,37406908.23
20190830,9495,9699,9337.97,9582.42,82694923.28
20190829,9714.31,9717.03,9321.73,9495,129722110.9
20190828,10171.85,10277,9522.93,9714.31,154268964.2
20190827,10361.65,10379.87,10019.56,10171.85,74200592.72
20190826,10138.72,10680,10138.72,10361.65,125332883.5
20190825,10147.96,10374.85,9899.95,10138.72,67215750.66
20190824,10410.85,10429,9886.26,10147.96,74619260.38
20190823,10107.15,10478,10035.84,10410.85,92546463.46
20190822,10130,10237.53,9759,10107.15,105652049
20190821,10769.09,10800,9841.59,10130,167478729.5
20190820,10920,10953,10555.7,10769.09,92307368.69
20190819,10315.48,10938.76,10265,10920,124054157
20190818,10217.79,10513.45,10066.66,10315.48,69466899.58
20190817,10352.78,10475.82,9978,10217.79,70811002.21
20190816,10300.01,10539.9,9739.99,10352.78,192895590.9
20190815,10025.86,10445,9470,10300.01,262525694.3
20190814,10854.92,10859.97,9888.88,10025.86,239583956
20190813,11389.28,11438.39,10746,10854.92,132286888.8
20190812,11540.76,11555.55,11222.4,11389.28,68970665.29
20190811,11280.95,11585,11088.88,11540.76,81187207.74
20190810,11856.1,11969.99,11170,11280.95,135945488.7
20190809,11981,12040,11651.89,11856.1,137817454.8
20190808,11975.03,12050,11451,11981,168150034.5
20190807,11465.49,12147,11366.26,11975.03,242719052.5
20190806,11819.49,12320.4,11187,11465.49,263293176.1
20190805,10977.51,11950,10977.51,11819.49,265552642
20190804,10820.76,11089.74,10572,10977.51,122790872.3
20190803,10533.01,10922.08,10508.5,10820.76,105140441.9
20190802,10405.94,10670,10321.42,10533.01,133071450.5
20190801,10087.3,10497,9881,10405.94,142808093.5
20190731,9589.01,10135.12,9570.01,10087.3,123476350
20190730,9495.01,9839.83,9371.96,9589.01,85175682.91
20190729,9533,9729.87,9356.75,9495.01,97666125.59
20190728,9479.98,9669.11,9108.88,9533,82510640.83
20190727,9843,10248.41,9298.19,9479.98,154374846.1
20190726,9883.33,9898.03,9657.21,9843,101720864.4
20190725,9772.6,10184.99,9734.58,9883.33,124397441
20190724,9840.12,9919.08,9507.38,9772.6,169006087.4
20190723,10323.39,10324.28,9800.23,9840.12,175663149
20190722,10590.7,10688.14,10060,10323.39,153890831.3
20190721,10761.03,10835,10320,10590.7,120060585.8
20190720,10538.06,11112.31,10360.65,10761.03,175315801.1
20190719,10649.07,10777.21,10111,10538.06,197833777
20190718,9696.31,10799,9291,10649.07,312100585
20190717,9422.72,9998,9071,9696.31,327044568.7
20190716,10854.47,11040,9350,9422.72,391332933.5
20190715,10185.03,11080.01,9857.27,10854.47,339680844.1
20190714,11370.08,11467.27,10084.4,10185.03,252705601.7
20190713,11802,11845,10814.4,11370.08,194286516
20190712,11349,11950,11079.59,11802,209057733
20190711,12097.96,12097.96,10933,11349,386913445.9
20190710,12571.11,13202.63,11553.21,12097.96,463096245.3
20190709,12293.53,12829.96,12122.33,12571.11,313480512.3
20190708,11474.42,12395,11328.01,12293.53,225134608.5
20190707,11237.77,11620,11084.31,11474.42,121096932.6
20190706,11004.51,11723.6,10980.09,11237.77,171204085.6
20190705,11136,11449.51,10761.8,11004.51,221382404
20190704,11976.42,12064.26,11035.01,11136,250208930
20190703,10829.18,12014.6,10829.18,11976.42,419076229.3
20190702,10577.63,10925,9651,10829.18,424791613.9
20190701,10761.26,11210.52,9953,10577.63,396857365.2
20190630,11865.29,12200,10650.06,10761.26,300275703.2
20190629,12360.45,12379.99,11318.94,11865.29,323053833.7
20190628,11159.29,12444.77,10737.87,12360.45,478598908.3
20190627,12927.44,13358.68,10300,11159.29,810986479.7
20190626,11755.53,13868.44,11355.5,12927.44,887887492.7
20190625,11032.32,11788.88,10997,11755.53,275616891.9
20190624,10833.02,11091.97,10550.21,11032.32,163828306.4
20190623,10666.86,11284.44,10490,10833.02,181766886.7
20190622,10236.2,11215.89,10080,10666.86,388841922.5
20190621,9531.21,10245,9531.21,10236.2,231762275.5
20190620,9277.54,9599,9210.3,9531.21,108849899
20190619,9078.48,9319.5,9035.75,9277.54,84024077.51
20190618,9333.14,9359.48,8919.72,9078.48,145785748.8
20190617,8975,9475,8975,9333.14,187067381.1
20190616,8860.23,9388,8799.7,8975,195495774.9
20190615,8697.46,8916.63,8594.99,8860.23,83754588.25
20190614,8239.04,8738.92,8180.08,8697.46,101649250.5
20190613,8176.02,8329.99,8048.75,8239.04,70312788.92
20190612,7918.17,8292.43,7817,8176.02,97661611.58
20190611,8015.69,8057.19,7702.83,7918.17,60559900.94
20190610,7634.58,8097.35,7516.9,8015.69,75882753.97
20190609,7930.14,7960,7508.77,7634.58,57424828.7
20190608,7998.13,8059.99,7786.01,7930.14,39813591.14
20190607,7805,8134.29,7756.79,7998.13,97032689.73
20190606,7789.48,7874.68,7450,7805,93809650.59
20190605,7670.96,7932.87,7570,7789.48,101930422.5
20190604,8107.96,8107.96,7427,7670.96,220919778.6
20190603,8736.55,8742.48,8030.46,8107.96,129709204.6
20190602,8558.95,8834,8550,8736.55,50359779.75
20190601,8554.06,8618,8452.21,8558.95,63938535.91
20190531,8279.69,8580,8110,8554.06,138188211.6
20190530,8662.44,9090,7972,8279.69,246869165.4
20190529,8715.36,8760.43,8426.09,8662.44,104110874.3
20190528,8772.29,8822.46,8545,8715.36,101649625.6
20190527,8731.72,8947.88,8611.44,8772.29,156467270.8
20190526,8063.81,8793.97,7881.7,8731.72,147251813.5
20190525,8001.7,8149,7941.25,8063.81,42493577.42
20190524,7881.98,8175,7794.73,8001.7,116960242
20190523,7626.48,7984.9,7467.1,7881.98,113748677.7
20190522,7951.7,8044.32,7506.12,7626.48,128813352.2
20190521,7999.54,8112.99,7805.34,7951.7,112626107.1
20190520,8200,8200,7570.31,7999.54,190785429.4
20190519,7262.4,8315,7252.58,8200,189749462.4
20190518,7363.69,7491.22,7204.42,7262.4,79710779.2
20190517,7878.96,7940.75,6600,7363.69,306073578.9
20190516,8203.32,8388,7660.74,7878.96,229351414.5
20190515,7990.92,8308.16,7831.77,8203.32,198263273.8
20190514,7824.93,8350,7621.27,7990.92,305918292.1
20190513,6979.76,8190.55,6864.93,7824.93,342496832.3
20190512,7219.95,7581.82,6755,6979.76,278625499.6
20190511,6343.14,7464.13,6342.98,7219.95,253954328.8
20190510,6153.09,6430,6108.81,6343.14,109858987.7
20190509,5948.41,6171.1,5934.49,6153.09,91832172.06
20190508,5748.45,5990,5656.26,5948.41,70520738.79
20190507,5687.9,5966.37,5687.9,5907.47,36226649.32
20190506,5715.86,5753.66,5564.93,5687.9,50845866.17
20190505,5770.01,5782.22,5627.35,5715.86,32582243.47
20190504,5657.4,5846.88,5512,5770.01,59574202.73
20190503,5390.01,5796.93,5363,5657.4,107785261.5
20190502,5321.15,5422.99,5306.09,5390.01,38594320.08
20190501,5270.69,5358.39,5265.61,5321.15,37828445.34
20190430,5148.25,5285,5126.25,5270.69,37605608.19
20190429,5155,5189.54,5072.01,5148.25,37509346.52
20190428,5170.6,5214.5,5101,5155,25342814.44
20190427,5159.51,5221.24,5117.46,5170.6,22026583.22
20190426,5134.81,5295.03,5041.14,5159.51,73166930.82
20190425,5441.9,5512.12,4963,5134.81,88265920
20190424,5532.75,5624.47,5374,5441.9,80964479.93
20190423,5387.6,5650.01,5361.01,5532.75,97351926.25
20190422,5297.64,5440.84,5250.45,5387.6,63951509.97
20190421,5319.89,5349.16,5213.34,5297.64,30311973.11
20190420,5290.37,5359.98,5260.24,5319.89,25922272.83
20190419,5281.81,5359.47,5196.7,5290.37,32806296.21
20190418,5227,5318.18,5222.26,5281.81,43288888.25
20190417,5202.9,5272.32,5173.11,5227,38598117.94
20190416,5029.99,5229.97,5016.45,5202.9,44145827.38
20190415,5164.27,5193.01,4945.54,5029.99,48834658.83
20190414,5066.22,5191.19,5013.81,5164.27,22464397.43
20190413,5078.19,5123.28,5036.74,5066.22,21783412.82
20190412,5040.12,5118.56,4901.99,5078.19,49603600.11
20190411,5318.58,5342.74,4967.24,5040.12,76928285.23
20190410,5193.49,5488,5164.49,5318.58,85275526.27
20190409,5285.54,5287,5145,5193.49,50561742.62
20190408,5194.79,5352.5,5132.28,5285.54,81476130.3
20190407,5044.13,5270.33,5029.7,5194.79,51868140.96
20190406,5040.66,5244.04,4925,5044.13,60965228.53
20190405,4907.3,5066.59,4887.34,5040.66,57721250.19
20190404,4975.97,5071.34,4778.84,4907.3,75091028.79
20190403,4901.93,5345,4787.11,4975.97,171922050.4
20190402,4137.01,5100.78,4133.15,4901.93,134414183.7
20190401,4094.99,4149.5,4051.53,4137.01,31901450.55
20190319,3970.5,3984.58,3969.58,3975.01,1438461.03
20190318,3967.01,4015.7,3937.69,3970.5,21516929.92
20190317,3990,3991,3936.3,3967.01,13030110.4
20190316,3902.8,4037.47,3900.93,3990,24615016.13
20190315,3853.95,3910,3846.79,3902.8,25436911.1
20190314,3851.02,3900,3779.28,3853.95,26886698
20190313,3860,3871.02,3827.5,3851.02,21041161.73
20190312,3849.68,3875.33,3798.16,3860,24965536.42
20190311,3900.92,3911.83,3817.01,3849.68,22190744.14
20190310,3917,3917,3867.84,3900.92,13416590.84
20190309,3843.12,3947.33,3834.59,3917,20142551.25
20190308,3857.05,3910.88,3771,3843.12,31578776.48
20190307,3851.89,3891,3830.79,3857.05,27045042.11
20190306,3844.59,3894.7,3812,3851.89,25412172.29
20190305,3700.72,3874.98,3692.36,3844.59,32710915.64
20190304,3786.93,3804.99,3672.39,3700.72,28997773.37
20190303,3809.7,3815.48,3763.62,3786.93,14578727.87
20190302,3806.17,3818.08,3763,3809.7,13632830.38
20190301,3792.14,3843,3791.31,3806.17,24705314.88
20190228,3799.92,3899.99,3755.21,3792.14,33445250.63
20190227,3799.48,3823.13,3655,3799.92,27975803.06
20190226,3818.79,3826.37,3763.71,3799.48,23962925.76
20190225,3734.22,3860,3731.09,3818.79,40365766.13
20190224,4110,4188.79,3712.84,3734.22,55233424.46
20190223,3942.02,4156.1,3911.3,4110,39860713.71
20190222,3897.71,3956.43,3886.15,3942.02,29358924.77
20190221,3938.99,3988,3869.45,3897.71,32077392.67
20190220,3888.01,3967.19,3867.13,3938.99,32602642.37
20190219,3867,3969.54,3841.54,3888.01,53982559.47
20190218,3625.08,3917,3616.18,3867,56655317.89
20190217,3582.37,3675,3557.43,3625.08,20780886.86
20190216,3566.59,3607.36,3565.5,3582.37,14916499.5
20190215,3561.5,3620.22,3545.89,3566.59,24453168.07
20190214,3576.68,3589,3535.1,3561.5,20210454.73
20190213,3588.06,3627.99,3562.98,3576.68,24541109.49
20190212,3590.36,3618.77,3550,3588.06,27645391.28
20190211,3648.85,3652,3579.38,3590.36,29178699.25
20190210,3623.73,3654.28,3578.59,3648.85,18675524.41
20190209,3622,3642.11,3597,3623.73,17674316.87
20190208,3359,3711,3344,3622,55243279.17
20190207,3367.36,3383.14,3352.01,3359,27907612.16
20190206,3428.4,3441,3340.8,3367.36,30027779.92
20190205,3409.57,3429.46,3400,3428.4,20484570.9
20190204,3414.78,3435,3395.1,3409.57,19551500.4
20190203,3468.43,3471.76,3386.45,3414.78,14864318.35
20190202,3437.5,3483.24,3414.49,3468.43,13105971.91
20190201,3411.49,3458.26,3369.62,3437.5,28763661.15
20190131,3437.55,3473.4,3396.74,3411.49,24471669.15
20190130,3397.42,3459.41,3373.35,3437.55,28405644.02
20190129,3429.95,3438.4,3337.87,3397.42,27746463.85
20190128,3531.01,3535.92,3374.02,3429.95,39919615.64
20190127,3556.07,3562.9,3471.98,3531.01,13690073.61
20190126,3562.18,3657.76,3540,3556.07,16208498.17
20190125,3568.97,3578.79,3510.01,3562.18,23272887.24
20190124,3553.01,3595.83,3530.1,3568.97,19952934.72
20190123,3577.03,3614.47,3523.64,3553.01,27204598.72
